symbol,sector,industry
AFLT,Industrials,Transportation
UWGN,Industrials,Capital Goods
TRCN,Industrials,Transportation
IRKT,Industrials,Capital Goods
KZOS,Industrials,Materials
FESH,Industrials,Transportation
MSTT,Industrials,Industrials
NKNC,Industrials,Materials
AKRN,Industrials,Materials
NMTP,Industrials,Transportation
PHOR,Industrials,Materials
ETLN,Real Estate,Real Estate
GRNT,Real Estate,Capital Goods
SMLT,Real Estate,Real Estate
PIKK,Real Estate,Consumer Durables & Apparel
LSRG,Real Estate,Real Estate
QIWI,Financial Services,Banks
YNDX,Communication Services,Internet Content & Information
HYDR,Utilities,Utilities
TORS,Utilities,Utilities
DASB,Utilities,Utilities
DVEC,Utilities,Utilities
LSNG,Utilities,Utilities
KLSB,Utilities,Utilities
PMSB,Utilities,Utilities
MRKY,Utilities,Utilities
MRKZ,Utilities,Utilities
IRGZ,Utilities,Utilities
TGKD,Utilities,Utilities
TGKB,Utilities,Utilities
MRKU,Utilities,Utilities
TGKN,Utilities,Utilities
MSRS,Utilities,Utilities
MRKS,Utilities,Utilities
VRSB,Utilities,Utilities
MRKC,Utilities,Utilities
MSNG,Utilities,Utilities
MRKP,Utilities,Utilities
MRKV,Utilities,Utilities
ENRU,Utilities,Utilities
TGKA,Utilities,Utilities
UPRO,Utilities,Utilities
OGKB,Utilities,Utilities
FEES,Utilities,Utilities
RSTI,Utilities,Utilities
IRAO,Utilities,Utilities
MAIL,Communication Services,Internet Content & Information
TRMK,Industrials,Energy
VNT,Technology,Scientific & Technical Instruments
ABNB,Communication Services,Internet Content & Information
PRG,Industrials,Rental & Leasing Services
AIRC,Real Estate,REIT
